term,term_code,course_code,course_title,section,crn,meeting_schedule,location,location_status,instructor,schedule_type_code,class_status,cab_status_code,cancelled,start_date,end_date,cab_schedule_and_location,source_url
Fall 2026,202610,SOC 1100,Introductory Statistics for Social Research,C11,16212,W 2pm-2:50pm,Page-Robinson Hall 202,Physical location published,TBD,C,Active,A,false,2026-09-09,2026-12-21,W 2pm-2:50pm in Page-Robinson Hall 202,https://cab.brown.edu/
Fall 2026,202610,SOC 1100,Introductory Statistics for Social Research,C12,16213,F 2pm-2:50pm,Page-Robinson Hall 202,Physical location published,TBD,C,Active,A,false,2026-09-09,2026-12-21,F 2pm-2:50pm in Page-Robinson Hall 202,https://cab.brown.edu/
Fall 2026,202610,SOC 1100,Introductory Statistics for Social Research,S01,14128,MWF 8am-8:50am,TBD,Physical location not yet published,TBD,S,Cancelled,C,true,2026-09-09,2026-12-21,MWF 8am-8:50am Location TBD,https://cab.brown.edu/
Fall 2026,202610,SOC 1100,Introductory Statistics for Social Research,S02,16207,TTh 6:40pm-8pm,Friedman Hall 202,Physical location published,H. Zhang,S,Active,A,false,2026-09-09,2026-12-21,TTh 6:40pm-8pm in Friedman Hall 202,https://cab.brown.edu/
Fall 2026,202610,SOC 1117,Focus Groups for Market and Social Research ,S01,14129,MWF 10am-10:50am,Friedman Hall 202,Physical location published,C. Spearin,S,Active,A,false,2026-09-09,2026-12-21,MWF 10am-10:50am in Friedman Hall 202,https://cab.brown.edu/
Fall 2026,202610,SOC 1120,Market and Social Surveys,S01,14141,MWF 11am-11:50am,Friedman Hall 202,Physical location published,C. Spearin,S,Active,A,false,2026-09-09,2026-12-21,MWF 11am-11:50am in Friedman Hall 202,https://cab.brown.edu/
Fall 2026,202610,SOC 1270,"Race, Class, and Ethnicity in the Modern World",S01,14156,TTh 2:30pm-3:50pm,67 George Street 104,Physical location published,J. Itzigsohn,S,Active,A,false,2026-09-09,2026-12-21,TTh 2:30pm-3:50pm in 67 George Street 104,https://cab.brown.edu/
Fall 2026,202610,SOC 1315,Macro-Organizational Theory: Organizations in Social Context,S01,14143,MWF 1pm-1:50pm,Smith-Buonanno Hall G13,Physical location published,J. Diamond,S,Active,A,false,2026-09-09,2026-12-21,MWF 1pm-1:50pm in Smith-Buonanno Hall G13,https://cab.brown.edu/
Fall 2026,202610,SOC 1450,"Unstable Times: Migration, Identity and Societal Integration",S01,14157,MWF 9am-9:50am,TBD,Physical location not yet published,L. Lopez Sanders,S,Cancelled,C,true,2026-09-09,2026-12-21,MWF 9am-9:50am Location TBD,https://cab.brown.edu/
Fall 2026,202610,SOC 1450,"Unstable Times: Migration, Identity and Societal Integration",S02,16051,MW 8:30am-9:50am,Sayles Hall 005,Physical location published,L. Lopez Sanders,S,Active,A,false,2026-09-09,2026-12-21,MW 8:30am-9:50am in Sayles Hall 005,https://cab.brown.edu/
Fall 2026,202610,SOC 1871D,Sophomore Seminar in Sociology of Development,S01,14161,Th 4pm-6:30pm,Sayles Hall 300,Physical location published,A. Schrank,S,Active,A,false,2026-09-09,2026-12-21,Th 4pm-6:30pm in Sayles Hall 300,https://cab.brown.edu/
Fall 2026,202610,SOC 1873G,The Geography of Urban Inequality,S01,14159,M 3pm-5:30pm,Sayles Hall 105,Physical location published,J. Candipan,S,Active,A,false,2026-09-09,2026-12-21,M 3pm-5:30pm in Sayles Hall 105,https://cab.brown.edu/
