osm_type,osm_id,name,brown_relevant_hint,building_type,amenity,operator,owner,address_number,address_street,address_city,address_state,address_postcode,levels,wikidata,wikipedia,website,latitude,longitude,osm_url,source_url,license
way,142009474,,false,house,,,,14,,,,,,,,,41.8218199,-71.401102,https://www.openstreetmap.org/way/142009474,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009481,,false,house,,,,,,,,,2,,,,41.8278603,-71.4080261,https://www.openstreetmap.org/way/142009481,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009483,,false,house,,,,140,,,,,,,,,41.8308728,-71.403884,https://www.openstreetmap.org/way/142009483,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009484,,false,house,,,,147,Lloyd Avenue,,,,,,,,41.8313176,-71.4015391,https://www.openstreetmap.org/way/142009484,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009491,,false,house,,,,,,,,,,,,,41.8319456,-71.4033309,https://www.openstreetmap.org/way/142009491,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009492,,false,house,,,,84,Benefit Street,,,,,,,,41.831214,-71.4093268,https://www.openstreetmap.org/way/142009492,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009495,,false,house,,,,146,Lloyd Avenue,,,,,,,,41.8316739,-71.401556,https://www.openstreetmap.org/way/142009495,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009503,,false,house,,,,103-105,Keene Street,,,,,,,,41.8320931,-71.4012896,https://www.openstreetmap.org/way/142009503,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009504,,false,house,,,,38,Cushing Street,,,,,,,,41.8297833,-71.4037873,https://www.openstreetmap.org/way/142009504,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009506,,false,house,,,,,,,,,,,,,41.8323642,-71.4018976,https://www.openstreetmap.org/way/142009506,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009512,,false,house,,,,87,Benefit Street,,,,,,,,41.8312121,-71.4089771,https://www.openstreetmap.org/way/142009512,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009516,Samuel & William Foster House,false,house,,,,93,Power Street,Providence,RI,,,,,,41.8227288,-71.4005994,https://www.openstreetmap.org/way/142009516,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009524,,false,house,,,,30,Congdon Street,,,,,,,,41.8286202,-71.4069667,https://www.openstreetmap.org/way/142009524,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009526,La Creperie,false,house,,,,82,Fones Alley,Providence,RI,02912,,,,,41.8283008,-71.4003263,https://www.openstreetmap.org/way/142009526,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009532,,false,house,,,,,,,,,,,,,41.83235,-71.4024372,https://www.openstreetmap.org/way/142009532,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009535,,false,house,,,,25,South Court Street,,,,,,,,41.8290151,-71.4075714,https://www.openstreetmap.org/way/142009535,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009537,,false,house,,,,195,Angell Street,Providence,RI,,,,,,41.8279618,-71.3999068,https://www.openstreetmap.org/way/142009537,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009543,,false,house,,,,155,Brown Street,Providence,RI,02906,,,,,41.8312658,-71.4036085,https://www.openstreetmap.org/way/142009543,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009544,,false,house,,,,247,Bowen Street,,,,,,,,41.830657,-71.4004981,https://www.openstreetmap.org/way/142009544,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
way,142009552,,false,house,,,,110,Benefit Street,,,,4,,,,41.8304072,-71.409087,https://www.openstreetmap.org/way/142009552,https://overpass-api.de/,"OpenStreetMap contributors, ODbL"
